Files,DNE,RFI,OPCR,Slope,alpha,Modified in v2
UF-H-102169-100-48-L_aligned.ply,697.2515788,0.01747195,1560.88,16.24356771,,
UF-H-102169-101-60-R_aligned.ply,514.4277141,0.010443862,1651.88,166.3779606,,
UF-H-102169-102-62-L_aligned.ply,639.7005166,0.015626221,1612.38,15.49043507,,
UF-H-102169-103-58-R_aligned.ply,531.4888957,0.010719147,1679,13.74072768,,
UF-H-102169-116-35-L_aligned.ply,714.8830431,0.018520879,1619,164.0301158,,
UF-H-102169-118-31-R_aligned.ply,413.737266,0.009929113,1345.5,12.75206661,,
UF-H-102169-118-52-R_aligned.ply,616.84235,0.010340708,1787.88,13.72595031,,
UF-H-102169-119-44-R_aligned.ply,587.2952515,0.011174593,1742.88,13.78993387,,
UF-H-102169-121-46-L_aligned.ply,715.8008437,0.018345387,1703.62,15.89565799,,
UF-H-102169-123-53-L_aligned.ply,653.8533367,0.014583332,1651.25,14.67139886,,
UF-H-102169-14-30-R_aligned.ply,1119.576232,0.02843539,1708.12,157.3374196,,
UF-H-102169-15-28-R_aligned.ply,1084.170678,0.038674017,1545.88,158.3256972,,TRUE
UF-H-102169-16-27-L_aligned.ply,1082.434298,0.029485571,1624.25,19.97265688,,
UF-H-102169-16-33-L_aligned.ply,1085.423196,0.041684342,1468.38,22.32486723,,TRUE
UF-H-102169-18-23-R_aligned.ply,1053.780069,0.026223939,1699.5,160.5206254,,
UF-H-102169-26-36-L_aligned.ply,1188.046104,0.038121808,1651,22.1712226,,TRUE
UF-H-102169-32-48-R_aligned.ply,715.9929369,0.017936053,1626.25,16.34211712,,
UF-H-102169-35-52-R_aligned.ply,754.7284069,0.016540673,1737.12,16.01878363,,
UF-H-102169-36-37-R_aligned.ply,606.4147765,0.015098454,1524,164.9601806,,
UF-H-102169-36-45-L_aligned.ply,882.8637321,0.026467555,1596.88,19.04986377,,
UF-H-102169-37-57-L_aligned.ply,911.9969672,0.024178275,1676.25,18.45825795,,
UF-H-102169-38-39-L_aligned.ply,816.8059975,0.02517998,1570.88,18.35758634,,
UF-H-102169-57-65-R_aligned.ply,795.1493312,0.01912267,1776.12,16.25679717,,
UF-H-102169-58-35-R_aligned.ply,508.8752535,0.012705924,1484.5,14.05352419,,
UF-H-102169-58-48-R_aligned.ply,632.6567543,0.018028325,1593.75,164.1170773,,
UF-H-102169-60-31-L_aligned.ply,704.1794383,0.018848164,1590,164.2187789,,
UF-H-102169-60-44-L_aligned.ply,778.597968,0.021700084,1598.88,162.6122982,,
UF-H-102169-62-63-L_aligned.ply,690.7875297,0.018401044,1574.75,16.50669788,,
UF-H-102169-79-41-R_aligned.ply,510.2425032,0.013148535,1458.88,14.09110345,,
UF-H-102169-80-52-R_aligned.ply,596.1202139,0.015011402,1631.75,165.0701365,,
UF-H-102169-80-67-R_aligned.ply,694.2271476,0.020547156,1560.12,17.64830248,,TRUE
UF-H-102169-82-30-L_aligned.ply,544.1259532,0.013751724,1464.38,14.28240784,,
UF-H-102169-84-47-L_aligned.ply,630.8690468,0.017115863,1509.62,163.8903091,,
